row_ID,final_price
35000,1838.7593
35001,5609.1294
35002,3220.5913
35003,567.8124
35004,5185.004
35005,4978.856
35006,3781.3184
35007,2690.3975
35008,3290.2437
35009,6300.993
35010,3238.9023
35011,5285.4097
35012,1959.4163
35013,1544.5769
35014,11629.422
35015,12276.649
35016,6319.9824
35017,2711.4092
35018,13801.765
35019,2629.0557
35020,397.65143
35021,7057.1006
35022,11677.689
35023,5692.4683
35024,4865.0977
35025,2342.9214
35026,5130.614
35027,4592.64
35028,543.04443
35029,25416.92
35030,4243.9014
35031,1887.1621
35032,14144.351
35033,8686.637
35034,5091.689
35035,11954.212
35036,6359.964
35037,5052.087
35038,3172.3389
35039,11779.119
35040,1336.1943
35041,7151.787
35042,3669.6924
35043,3940.3306
35044,2380.2231
35045,2345.8652
35046,1492.0679
35047,5004.6025
35048,3838.2617
35049,6617.0264
35050,1994.134
35051,13669.273
35052,4920.007
35053,4717.452
35054,1369.1381
35055,576.2954
35056,1853.3835
35057,357.875
35058,405.32043
35059,6167.1772
35060,421.36676
35061,4646.6475
35062,2718.2397
35063,10716.858
35064,1098.8224
35065,12927.959
35066,6032.288
35067,3031.8472
35068,629.3496
35069,3442.357
35070,4221.2754
35071,5789.028
35072,982.95123
35073,14225.845
35074,5447.292
35075,8076.7944
35076,4508.1396
35077,6109.5806
35078,17484.719
35079,489.67462
35080,4013.7036
35081,5266.899
35082,3412.0293
35083,3799.6008
35084,3491.6533
35085,3400.4624
35086,3941.897
35087,11936.462
35088,3799.3623
35089,3146.7812
35090,584.1902
35091,2943.1313
35092,405.32043
35093,12978.855
35094,2314.834
35095,6291.755
35096,4483.9604
35097,9059.741
35098,4735.424
35099,4617.0386
35100,3894.7014
35101,6966.2095
35102,11399.805
35103,484.02203
35104,4299.87
35105,10283.406
35106,6927.163
35107,5640.715
35108,5145.093
35109,5366.3027
35110,15678.421
35111,3024.126
35112,6206.581
35113,3371.9292
35114,5217.867
35115,3899.916
35116,2465.0007
35117,7665.9756
35118,1236.4117
35119,11402.598
35120,5496.7627
35121,3451.0986
35122,1984.8613
35123,4812.036
35124,5582.887
35125,2987.7856
35126,3577.815
35127,6587.269
35128,6727.9336
35129,15162.506
35130,3924.9023
35131,604.4889
35132,3422.9556
35133,3069.4531
35134,2590.7095
35135,7101.3833
35136,659.9433
35137,1161.7925
35138,3560.0972
35139,1745.3768
35140,2332.7861
35141,9984.012
35142,4909.0127
35143,11861.228
35144,3002.5635
35145,2561.1511
35146,11164.0625
35147,2166.8442
35148,3805.2979
35149,4253.4956
35150,6602.9653
35151,3080.136
35152,465.83234
35153,3288.397
35154,5329.1396
35155,357.875
35156,4010.056
35157,4849.1494
35158,2097.3032
35159,6442.0317
35160,906.00574
35161,3896.1353
35162,4212.7188
35163,2254.1729
35164,2849.6865
35165,9188.557
35166,6869.3955
35167,4361.735
35168,5913.2427
35169,2504.084
35170,3076.105
35171,6287.166
35172,5396.5854
35173,2630.3618
35174,2841.8877
35175,5122.0107
35176,7648.4316
35177,4269.4375
35178,9426.979
35179,4033.2573
35180,2617.6177
35181,5649.713
35182,7090.923
35183,8631.174
35184,4015.0244
35185,56.113773
35186,3634.689
35187,4871.1333
35188,7190.077
35189,2825.5037
35190,1836.2598
35191,548.0515
35192,5566.8965
35193,6491.258
35194,10546.196
35195,9288.437
35196,24.90466
35197,57.823864
35198,5397.668
35199,4768.7793
35200,458.71698
35201,11037.354
35202,7308.719
35203,2635.106
35204,5230.1367
35205,3105.254
35206,2526.726
35207,4514.5293
35208,7726.129
35209,6384.078
35210,12631.76
35211,786.30975
35212,1873.4435
35213,20598.639
35214,5641.043
35215,1361.5192
35216,9483.629
35217,1463.6191
35218,16088.541
35219,4650.921
35220,8813.645
35221,9868.65
35222,16594.443
35223,4976.7646
35224,6478.0283
35225,3013.3936
35226,15522.941
35227,6763.8965
35228,5833.048
35229,1594.6648
35230,5732.383
35231,4450.751
35232,6988.685
35233,2396.7803
35234,701.33936
35235,9464.922
35236,6205.616
35237,740.50525
35238,3488.857
35239,1231.668
35240,1369.8346
35241,10132.449
35242,10993.174
35243,6379.9863
35244,3875.893
35245,1683.8147
35246,4841.482
35247,12632.346
35248,6073.6484
35249,3772.4102
35250,2626.9785
35251,14154.3545
35252,5329.632
35253,1946.861
35254,2325.0457
35255,3006.3186
35256,16561.951
35257,1580.5674
35258,1163.8376
35259,1328.5747
35260,2413.3962
35261,2467.3425
35262,138.69313
35263,13474.047
35264,2461.1833
35265,3869.9102
35266,239.57784
35267,3017.2275
35268,283.47543
35269,1681.3145
35270,4473.177
35271,4964.335
35272,6810.0234
35273,721.1623
35274,13732.04
35275,3010.1035
35276,11446.021
35277,1616.91
35278,3036.9302
35279,791.3933
35280,6031.438
35281,2676.1697
35282,2296.0796
35283,7410.376
35284,485.5824
35285,7201.099
35286,3504.1504
35287,5051.7637
35288,1036.7924
35289,8220.465
35290,9382.088
35291,4909.918
35292,3904.65
35293,1050.2207
35294,5121.6885
35295,597.5698
35296,3995.5981
35297,5513.4893
35298,4986.811
35299,5238.1626
35300,5134.963
35301,1987.2412
35302,3285.7095
35303,2925.5986
35304,4134.3877
35305,16591.23
35306,238.82532
35307,5405.5283
35308,5888.759
35309,5640.505
35310,6314.7295
35311,10938.902
35312,5166.44
35313,3859.4883
35314,2988.8274
35315,5478.3696
